,author,body,number,created_at,empty
0,xli,/land,9895,2021-11-30T22:42:28Z,0
1,github-actions[bot],"Forge Test Result
```
Compatibility test results for land_5f3bbcf5 ==> land_b42b07f0 (PR)
1. Downgrade all validators to older version: land_5f3bbcf5
2. Upgrading first Validator to new version: land_b42b07f0
3. Upgrading rest of first batch to new version: land_b42b07f0
4. upgrading second batch to new version: land_b42b07f0
5. check swarm health
Compatibility test for land_5f3bbcf5 ==> land_b42b07f0 passed
all up : 1669 TPS, 2683 ms latency, 7600 ms p99 latency,no expired txns
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-1.aws.hlw3truzy4ls.com/d/overview/overview?from=1638317522466&to=1638318839636&orgId=1
```

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_b42b07f0 --base-image-tag land_5f3bbcf5 --suite land_blocking_compat --report forge_report.json
  ```
  
 :tada: Land-blocking forge test passed! :ok_hand:",9895,2021-12-01T00:34:00Z,0
2,github-actions[bot],"Cluster Test Result
```
Test runner setup time spent 258 secs
Compatibility test results for land_5f3bbcf5 ==> land_b42b07f0 (PR)
1. All instances running land_5f3bbcf5, generating some traffic on network
2. First full node land_5f3bbcf5 ==> land_b42b07f0, to validate new full node to old validator node traffic
3. First Validator node land_5f3bbcf5 ==> land_b42b07f0, to validate storage compatibility
4. First batch validators (14) land_5f3bbcf5 ==> land_b42b07f0, to test consensus and traffic between old full nodes and new validator node
5. First batch full nodes (14) land_5f3bbcf5 ==> land_b42b07f0
6. Second batch validators (15) land_5f3bbcf5 ==> land_b42b07f0, to upgrade rest of the validators
7. Second batch of full nodes (15) land_5f3bbcf5 ==> land_b42b07f0, to finish the network upgrade, time spent 684 secs
all up : 2226 TPS, 2020 ms latency, 3550 ms p99 latency, no expired txns, time spent 264 secs
Logs: http://kibana.ct-1-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T00:11:23Z',to:'2021-12-01T00:34:22Z'))
Dashboard: http://grafana.ct-1-k8s-testnet.aws.hlw3truzy4ls.com/d/performance/performance?from=1638317483000&to=1638318862000
Validator 1 logs: http://kibana.ct-1-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T00:11:23Z',to:'2021-12-01T00:34:22Z'))&_a=(columns:!(log),query:(language:kuery,query:'kubernetes.pod_name:""val-1""'),sort:!(!('@timestamp',desc)))
```

Repro cmd:

  ```
  ./scripts/cti --tag land_5f3bbcf5 --cluster-test-tag land_b42b07f0 -E BATCH_SIZE=15 -E UPDATE_TO_TAG=land_b42b07f0 --report report.json --suite land_blocking_compat
  ```
  
 :tada: Land-blocking cluster test passed! :ok_hand:",9895,2021-12-01T00:34:23Z,0
3,github-actions[bot],"Forge Test Result
```
Compatibility test results for land_b42b07f0 ==> land_67c4c667 (PR)
1. Downgrade all validators to older version: land_b42b07f0
2. Upgrading first Validator to new version: land_67c4c667
3. Upgrading rest of first batch to new version: land_67c4c667
4. upgrading second batch to new version: land_67c4c667
5. check swarm health
Compatibility test for land_b42b07f0 ==> land_67c4c667 passed
all up : 1655 TPS, 2703 ms latency, 8600 ms p99 latency,no expired txns
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-0.aws.hlw3truzy4ls.com/d/overview/overview?from=1638320245602&to=1638321500136&orgId=1
```

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_67c4c667 --base-image-tag land_b42b07f0 --suite land_blocking_compat --report forge_report.json
  ```
  
 :tada: Land-blocking forge test passed! :ok_hand:",9899,2021-12-01T01:18:20Z,0
4,github-actions[bot],"Cluster Test Result
```
Test runner setup time spent 250 secs
Compatibility test results for land_b42b07f0 ==> land_67c4c667 (PR)
1. All instances running land_b42b07f0, generating some traffic on network
2. First full node land_b42b07f0 ==> land_67c4c667, to validate new full node to old validator node traffic
3. First Validator node land_b42b07f0 ==> land_67c4c667, to validate storage compatibility
4. First batch validators (14) land_b42b07f0 ==> land_67c4c667, to test consensus and traffic between old full nodes and new validator node
5. First batch full nodes (14) land_b42b07f0 ==> land_67c4c667
6. Second batch validators (15) land_b42b07f0 ==> land_67c4c667, to upgrade rest of the validators
7. Second batch of full nodes (15) land_b42b07f0 ==> land_67c4c667, to finish the network upgrade, time spent 615 secs
all up : 2155 TPS, 2089 ms latency, 4500 ms p99 latency, no expired txns, time spent 263 secs
Logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T00:57:07Z',to:'2021-12-01T01:18:56Z'))
Dashboard: http://grafana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/d/performance/performance?from=1638320227000&to=1638321536000
Validator 1 logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T00:57:07Z',to:'2021-12-01T01:18:56Z'))&_a=(columns:!(log),query:(language:kuery,query:'kubernetes.pod_name:""val-1""'),sort:!(!('@timestamp',desc)))
```

Repro cmd:

  ```
  ./scripts/cti --tag land_b42b07f0 --cluster-test-tag land_67c4c667 -E BATCH_SIZE=15 -E UPDATE_TO_TAG=land_67c4c667 --report report.json --suite land_blocking_compat
  ```
  
 :tada: Land-blocking cluster test passed! :ok_hand:",9899,2021-12-01T01:18:57Z,0
5,rustielin,/land,9851,2021-11-30T19:48:11Z,0
6,bors-libra,:broken_heart: Test Failed - [ci-test](https://github.com/diem/diem/actions/runs/1523057975),9851,2021-11-30T22:26:50Z,0
7,github-actions[bot],"Forge Test Result
```
Compatibility test results for land_b42b07f0 ==> land_f48fc8c0 (PR)
1. Downgrade all validators to older version: land_b42b07f0
2. Upgrading first Validator to new version: land_f48fc8c0
3. Upgrading rest of first batch to new version: land_f48fc8c0
4. upgrading second batch to new version: land_f48fc8c0
5. check swarm health
Compatibility test for land_b42b07f0 ==> land_f48fc8c0 passed
all up : 1650 TPS, 2709 ms latency, 6800 ms p99 latency,no expired txns
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-1.aws.hlw3truzy4ls.com/d/overview/overview?from=1638321019511&to=1638322372166&orgId=1
```

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_f48fc8c0 --base-image-tag land_b42b07f0 --suite land_blocking_compat --report forge_report.json
  ```
  
 :tada: Land-blocking forge test passed! :ok_hand:",9851,2021-12-01T01:32:53Z,0
8,rustielin,/land,9851,2021-12-01T01:33:38Z,0
9,github-actions[bot],"Cluster Test Result
```
Test runner setup time spent 563 secs
Compatibility test results for land_b42b07f0 ==> land_f48fc8c0 (PR)
1. All instances running land_b42b07f0, generating some traffic on network
2. First full node land_b42b07f0 ==> land_f48fc8c0, to validate new full node to old validator node traffic
3. First Validator node land_b42b07f0 ==> land_f48fc8c0, to validate storage compatibility
4. First batch validators (14) land_b42b07f0 ==> land_f48fc8c0, to test consensus and traffic between old full nodes and new validator node
5. First batch full nodes (14) land_b42b07f0 ==> land_f48fc8c0
6. Second batch validators (15) land_b42b07f0 ==> land_f48fc8c0, to upgrade rest of the validators
7. Second batch of full nodes (15) land_b42b07f0 ==> land_f48fc8c0, to finish the network upgrade, time spent 659 secs
Experiment `all up` failed: `Failed to run experiment: Failed to mint accounts`
Logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T01:19:24Z',to:'2021-12-01T01:43:08Z'))
Dashboard: http://grafana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/d/performance/performance?from=1638321564000&to=1638322988000
Validator 1 logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T01:19:24Z',to:'2021-12-01T01:43:08Z'))&_a=(columns:!(log),query:(language:kuery,query:'kubernetes.pod_name:""val-1""'),sort:!(!('@timestamp',desc)))
```

 :exclamation: Cluster Test failed - non-zero exit code for `cti` 

Repro cmd:

  ```
  ./scripts/cti --tag land_b42b07f0 --cluster-test-tag land_f48fc8c0 -E BATCH_SIZE=15 -E UPDATE_TO_TAG=land_f48fc8c0 --report report.json --suite land_blocking_compat
  ```
  ",9851,2021-12-01T01:43:09Z,0
